No,Judul,Tahun,Rating,Rating_2,Durasi,Link
111,Heat,1995,8.3 (723K),Approved,2h 50m,https://www.imdb.com/title/tt0113277/?ref_=chttp_t_111
112,Up,2009,8.3 (1.1M),PG-13,1h 36m,https://www.imdb.com/title/tt1049413/?ref_=chttp_t_112
113,A Clockwork Orange,1971,8.3 (884K),PG,2h 16m,https://www.imdb.com/title/tt0066921/?ref_=chttp_t_113
114,To Kill a Mockingbird,1962,8.3 (334K),PG-13,2h 9m,https://www.imdb.com/title/tt0056592/?ref_=chttp_t_114
115,A Separation,2011,8.3 (260K),R,2h 3m,https://www.imdb.com/title/tt1832382/?ref_=chttp_t_115
116,The Sting,1973,8.3 (281K),PG,2h 9m,https://www.imdb.com/title/tt0070735/?ref_=chttp_t_116
117,Indiana Jones and the Last Crusade,1989,8.2 (814K),Not Rated,2h 7m,https://www.imdb.com/title/tt0097576/?ref_=chttp_t_117
118,Die Hard,1988,8.2 (950K),R,2h 12m,https://www.imdb.com/title/tt0095016/?ref_=chttp_t_118
119,Like Stars on Earth,2007,8.3 (208K),R,2h 42m,https://www.imdb.com/title/tt0986264/?ref_=chttp_t_119
120,Metropolis,1927,8.3 (186K),R,2h 33m,https://www.imdb.com/title/tt0017136/?ref_=chttp_t_120
121,Snatch,2000,8.2 (915K),PG-13,1h 42m,https://www.imdb.com/title/tt0208092/?ref_=chttp_t_121
122,L.A. Confidential,1997,8.2 (621K),Not Rated,2h 18m,https://www.imdb.com/title/tt0119488/?ref_=chttp_t_122
123,1917,2019,8.2 (682K),R,1h 59m,https://www.imdb.com/title/tt8579674/?ref_=chttp_t_123
124,Hamilton,2020,8.3 (115K),R,2h 40m,https://www.imdb.com/title/tt8503618/?ref_=chttp_t_124
125,Bicycle Thieves,1948,8.3 (176K),Not Rated,1h 29m,https://www.imdb.com/title/tt0040522/?ref_=chttp_t_125
126,Taxi Driver,1976,8.2 (926K),R,1h 54m,https://www.imdb.com/title/tt0075314/?ref_=chttp_t_126
127,Downfall,2004,8.2 (377K),PG-13,2h 36m,https://www.imdb.com/title/tt0363163/?ref_=chttp_t_127
128,Dangal,2016,8.3 (212K),R,2h 41m,https://www.imdb.com/title/tt5074352/?ref_=chttp_t_128
129,For a Few Dollars More,1965,8.2 (276K),Approved,2h 12m,https://www.imdb.com/title/tt0059578/?ref_=chttp_t_129
130,Batman Begins,2005,8.2 (1.6M),PG-13,2h 20m,https://www.imdb.com/title/tt0372784/?ref_=chttp_t_130
131,The Wolf of Wall Street,2013,8.2 (1.6M),Passed,3h,https://www.imdb.com/title/tt0993846/?ref_=chttp_t_131
132,Some Like It Hot,1959,8.2 (285K),PG-13,2h 1m,https://www.imdb.com/title/tt0053291/?ref_=chttp_t_132
133,Green Book,2018,8.2 (579K),Approved,2h 10m,https://www.imdb.com/title/tt6966692/?ref_=chttp_t_133
134,The Kid,1921,8.2 (135K),PG,1h 8m,https://www.imdb.com/title/tt0012349/?ref_=chttp_t_134
135,The Father,2020,8.2 (195K),Approved,1h 37m,https://www.imdb.com/title/tt10272386/?ref_=chttp_t_135
136,Judgment at Nuremberg,1961,8.3 (86K),R,2h 59m,https://www.imdb.com/title/tt0055031/?ref_=chttp_t_136
137,The Truman Show,1998,8.2 (1.2M),PG-13,1h 43m,https://www.imdb.com/title/tt0120382/?ref_=chttp_t_137
138,All About Eve,1950,8.2 (139K),R,2h 18m,https://www.imdb.com/title/tt0042192/?ref_=chttp_t_138
139,Shutter Island,2010,8.2 (1.5M),R,2h 18m,https://www.imdb.com/title/tt1130884/?ref_=chttp_t_139
140,Top Gun: Maverick,2022,8.2 (708K),PG-13,2h 10m,https://www.imdb.com/title/tt1745960/?ref_=chttp_t_140
141,There Will Be Blood,2007,8.2 (644K),R,2h 38m,https://www.imdb.com/title/tt0469494/?ref_=chttp_t_141
142,Casino,1995,8.2 (567K),PG-13,2h 58m,https://www.imdb.com/title/tt0112641/?ref_=chttp_t_142
143,Jurassic Park,1993,8.2 (1.1M),R,2h 7m,https://www.imdb.com/title/tt0107290/?ref_=chttp_t_143
144,Ran,1985,8.2 (137K),R,2h 40m,https://www.imdb.com/title/tt0089881/?ref_=chttp_t_144
145,The Sixth Sense,1999,8.2 (1.1M),R,1h 47m,https://www.imdb.com/title/tt0167404/?ref_=chttp_t_145
146,Pan's Labyrinth,2006,8.2 (705K),PG-13,1h 58m,https://www.imdb.com/title/tt0457430/?ref_=chttp_t_146
147,Unforgiven,1992,8.2 (438K),R,2h 10m,https://www.imdb.com/title/tt0105695/?ref_=chttp_t_147
148,No Country for Old Men,2007,8.2 (1.1M),R,2h 2m,https://www.imdb.com/title/tt0477348/?ref_=chttp_t_148
149,A Beautiful Mind,2001,8.2 (991K),Approved,2h 15m,https://www.imdb.com/title/tt0268978/?ref_=chttp_t_149
150,The Thing,1982,8.2 (470K),Not Rated,1h 49m,https://www.imdb.com/title/tt0084787/?ref_=chttp_t_150
151,Kill Bill: Vol 1,2003,8.2 (1.2M),PG,1h 51m,https://www.imdb.com/title/tt0266697/?ref_=chttp_t_151
152,The Treasure of the Sierra Madre,1948,8.2 (133K),Approved,2h 6m,https://www.imdb.com/title/tt0040897/?ref_=chttp_t_152
153,Yojimbo,1961,8.2 (132K),G,1h 50m,https://www.imdb.com/title/tt0055630/?ref_=chttp_t_153
154,Monty Python and the Holy Grail,1975,8.2 (572K),R,1h 31m,https://www.imdb.com/title/tt0071853/?ref_=chttp_t_154
155,The Great Escape,1963,8.2 (260K),PG,2h 52m,https://www.imdb.com/title/tt0057115/?ref_=chttp_t_155
156,Finding Nemo,2003,8.2 (1.1M),Not Rated,1h 40m,https://www.imdb.com/title/tt0266543/?ref_=chttp_t_156
157,Prisoners,2013,8.2 (816K),PG,2h 33m,https://www.imdb.com/title/tt1392214/?ref_=chttp_t_157
158,Howl's Moving Castle,2004,8.2 (453K),PG,1h 59m,https://www.imdb.com/title/tt0347149/?ref_=chttp_t_158
159,Rashomon,1950,8.2 (181K),R,1h 28m,https://www.imdb.com/title/tt0042876/?ref_=chttp_t_159
160,The Elephant Man,1980,8.2 (259K),G,2h 4m,https://www.imdb.com/title/tt0080678/?ref_=chttp_t_160
161,Dial M for Murder,1954,8.2 (190K),R,1h 45m,https://www.imdb.com/title/tt0046912/?ref_=chttp_t_161
162,Chinatown,1974,8.1 (351K),R,2h 10m,https://www.imdb.com/title/tt0071315/?ref_=chttp_t_162
163,Gone with the Wind,1939,8.2 (335K),R,3h 58m,https://www.imdb.com/title/tt0031381/?ref_=chttp_t_163
164,"Lock, Stock and Two Smoking Barrels",1998,8.1 (619K),PG,1h 47m,https://www.imdb.com/title/tt0120735/?ref_=chttp_t_164
165,V for Vendetta,2005,8.2 (1.2M),R,2h 12m,https://www.imdb.com/title/tt0434409/?ref_=chttp_t_165
166,The Secret in Their Eyes,2009,8.2 (223K),R,2h 9m,https://www.imdb.com/title/tt1305806/?ref_=chttp_t_166
167,Inside Out,2015,8.1 (792K),R,1h 35m,https://www.imdb.com/title/tt2096673/?ref_=chttp_t_167
168,Raging Bull,1980,8.1 (382K),PG,2h 9m,https://www.imdb.com/title/tt0081398/?ref_=chttp_t_168
169,"Three Billboards Outside Ebbing, Missouri",2017,8.1 (558K),PG,1h 55m,https://www.imdb.com/title/tt5027774/?ref_=chttp_t_169
170,Trainspotting,1996,8.1 (728K),R,1h 33m,https://www.imdb.com/title/tt0117951/?ref_=chttp_t_170
171,The Bridge on the River Kwai,1957,8.1 (234K),PG-13,2h 41m,https://www.imdb.com/title/tt0050212/?ref_=chttp_t_171
172,Klaus,2019,8.2 (191K),PG-13,1h 36m,https://www.imdb.com/title/tt4729430/?ref_=chttp_t_172
173,Fargo,1996,8.1 (730K),PG-13,1h 38m,https://www.imdb.com/title/tt0116282/?ref_=chttp_t_173
174,Catch Me If You Can,2002,8.1 (1.1M),R,2h 21m,https://www.imdb.com/title/tt0264464/?ref_=chttp_t_174
175,Spider-Man: No Way Home,2021,8.2 (887K),PG-13,2h 28m,https://www.imdb.com/title/tt10872600/?ref_=chttp_t_175
176,Warrior,2011,8.1 (500K),PG-13,2h 20m,https://www.imdb.com/title/tt1291584/?ref_=chttp_t_176
177,Gran Torino,2008,8.1 (818K),G,1h 56m,https://www.imdb.com/title/tt1205489/?ref_=chttp_t_177
178,Million Dollar Baby,2004,8.1 (724K),PG,2h 12m,https://www.imdb.com/title/tt0405159/?ref_=chttp_t_178
179,Harry Potter and the Deathly Hallows: Part 2,2011,8.1 (953K),R,2h 10m,https://www.imdb.com/title/tt1201607/?ref_=chttp_t_179
180,My Neighbor Totoro,1988,8.1 (383K),G,1h 26m,https://www.imdb.com/title/tt0096283/?ref_=chttp_t_180
181,Children of Heaven,1997,8.2 (81K),R,1h 29m,https://www.imdb.com/title/tt0118849/?ref_=chttp_t_181
182,12 Years a Slave,2013,8.1 (744K),R,2h 14m,https://www.imdb.com/title/tt2024544/?ref_=chttp_t_182
183,Ben-Hur,1959,8.1 (255K),PG,3h 32m,https://www.imdb.com/title/tt0052618/?ref_=chttp_t_183
184,Blade Runner,1982,8.1 (826K),R,1h 57m,https://www.imdb.com/title/tt0083658/?ref_=chttp_t_184
185,Before Sunrise,1995,8.1 (342K),R,1h 41m,https://www.imdb.com/title/tt0112471/?ref_=chttp_t_185
186,Barry Lyndon,1975,8.1 (184K),R,3h 5m,https://www.imdb.com/title/tt0072684/?ref_=chttp_t_186
187,The Grand Budapest Hotel,2014,8.1 (891K),R,1h 39m,https://www.imdb.com/title/tt2278388/?ref_=chttp_t_187
188,Mad Max: Fury Road,2015,8.1 (1.1M),Approved,2h,https://www.imdb.com/title/tt1392190/?ref_=chttp_t_188
189,Gone Girl,2014,8.1 (1.1M),PG,2h 29m,https://www.imdb.com/title/tt2267998/?ref_=chttp_t_189
190,Hacksaw Ridge,2016,8.1 (599K),Not Rated,2h 19m,https://www.imdb.com/title/tt2119532/?ref_=chttp_t_190
191,The Gold Rush,1925,8.1 (119K),R,1h 35m,https://www.imdb.com/title/tt0015864/?ref_=chttp_t_191
192,Dead Poets Society,1989,8.1 (550K),R,2h 8m,https://www.imdb.com/title/tt0097165/?ref_=chttp_t_192
193,Memories of Murder,2003,8.1 (219K),R,2h 12m,https://www.imdb.com/title/tt0353969/?ref_=chttp_t_193
194,In the Name of the Father,1993,8.1 (188K),G,2h 13m,https://www.imdb.com/title/tt0107207/?ref_=chttp_t_194
195,Wild Tales,2014,8.1 (218K),Passed,2h 2m,https://www.imdb.com/title/tt3011894/?ref_=chttp_t_195
196,The Deer Hunter,1978,8.1 (364K),Approved,3h 3m,https://www.imdb.com/title/tt0077416/?ref_=chttp_t_196
197,"Monsters, Inc",2001,8.1 (984K),Passed,1h 32m,https://www.imdb.com/title/tt0198781/?ref_=chttp_t_197
198,The General,1926,8.1 (99K),PG,1h 18m,https://www.imdb.com/title/tt0017925/?ref_=chttp_t_198
199,On the Waterfront,1954,8.1 (166K),PG,1h 48m,https://www.imdb.com/title/tt0047296/?ref_=chttp_t_199
200,Sherlock Jr,1924,8.2 (58K),Approved,45m,https://www.imdb.com/title/tt0015324/?ref_=chttp_t_200
201,How to Train Your Dragon,2010,8.1 (804K),Not Rated,1h 38m,https://www.imdb.com/title/tt0892769/?ref_=chttp_t_201
202,Jaws,1975,8.1 (663K),Not Rated,2h 4m,https://www.imdb.com/title/tt0073195/?ref_=chttp_t_202
203,The Third Man,1949,8.1 (183K),Not Rated,1h 33m,https://www.imdb.com/title/tt0041959/?ref_=chttp_t_203
204,The Wages of Fear,1953,8.1 (67K),G,2h 11m,https://www.imdb.com/title/tt0046268/?ref_=chttp_t_204
205,Mary and Max,2009,8.1 (187K),Approved,1h 32m,https://www.imdb.com/title/tt0978762/?ref_=chttp_t_205
206,Wild Strawberries,1957,8.1 (115K),PG-13,1h 31m,https://www.imdb.com/title/tt0050986/?ref_=chttp_t_206
207,Ratatouille,2007,8.1 (831K),Not Rated,1h 51m,https://www.imdb.com/title/tt0382932/?ref_=chttp_t_207
208,Mr. Smith Goes to Washington,1939,8.1 (122K),R,2h 9m,https://www.imdb.com/title/tt0031679/?ref_=chttp_t_208
209,Ford v Ferrari,2019,8.1 (482K),Not Rated,2h 32m,https://www.imdb.com/title/tt1950186/?ref_=chttp_t_209
210,Tokyo Story,1953,8.1 (69K),R,2h 16m,https://www.imdb.com/title/tt0046438/?ref_=chttp_t_210
211,The Big Lebowski,1998,8.1 (864K),PG,1h 57m,https://www.imdb.com/title/tt0118715/?ref_=chttp_t_211
212,The Seventh Seal,1957,8.1 (199K),R,1h 36m,https://www.imdb.com/title/tt0050976/?ref_=chttp_t_212
213,Room,2015,8.1 (452K),R,1h 58m,https://www.imdb.com/title/tt3170832/?ref_=chttp_t_213
214,Rocky,1976,8.1 (631K),PG-13,2h,https://www.imdb.com/title/tt0075148/?ref_=chttp_t_214
215,Logan,2017,8.1 (837K),R,2h 17m,https://www.imdb.com/title/tt3315342/?ref_=chttp_t_215
216,Spotlight,2015,8.1 (504K),R,2h 9m,https://www.imdb.com/title/tt1895587/?ref_=chttp_t_216
217,Hotel Rwanda,2004,8.1 (373K),Not Rated,2h 1m,https://www.imdb.com/title/tt0395169/?ref_=chttp_t_217
218,The Terminator,1984,8.1 (929K),Passed,1h 47m,https://www.imdb.com/title/tt0088247/?ref_=chttp_t_218
219,Platoon,1986,8.1 (441K),R,2h,https://www.imdb.com/title/tt0091763/?ref_=chttp_t_219
220,La haine,1995,8.1 (198K),Approved,1h 38m,https://www.imdb.com/title/tt0113247/?ref_=chttp_t_220
221,The Passion of Joan of Arc,1928,8.1 (61K),PG-13,1h 54m,https://www.imdb.com/title/tt0019254/?ref_=chttp_t_221
222,Before Sunset,2004,8.1 (289K),R,1h 20m,https://www.imdb.com/title/tt0381681/?ref_=chttp_t_222
223,The Best Years of Our Lives,1946,8.1 (71K),Approved,2h 50m,https://www.imdb.com/title/tt0036868/?ref_=chttp_t_223
224,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1 (1.2M),R,2h 23m,https://www.imdb.com/title/tt0325980/?ref_=chttp_t_224
225,The Exorcist,1973,8.1 (457K),R,2h 2m,https://www.imdb.com/title/tt0070047/?ref_=chttp_t_225
226,Jai Bhim,2021,8.7 (218K),G,2h 44m,https://www.imdb.com/title/tt15097216/?ref_=chttp_t_226
227,Rush,2013,8.1 (516K),R,2h 3m,https://www.imdb.com/title/tt1979320/?ref_=chttp_t_227
